Log10(resolution)(Log10(m)),Decay Time(ps), Error
0.005,0.5836596266349912,0.022394806877436158
0.008,0.6076639997285496,0.020844431793662455
0.025,0.5743310723963035,0.0197250039837184
0.013000000000000001,0.5853610131492193,0.019666506147057557
0.022000000000000002,0.586110324500444,0.019602755540656935
0.028,0.5897974092053299,0.020832570370425046
0.003,0.6052188775151943,0.02518791996992327
0.019000000000000003,0.5830343830231449,0.01904406315648704
0.001,0.5841659712165338,0.04102109174201322
0.016,0.5869304040661676,0.01876462064705032
0.021,0.590205882319261,0.019345576344130484
0.027000000000000003,0.5907698527028851,0.020816878669990494
0.026000000000000002,0.5998708867915945,0.020601016988022545
0.014000000000000002,0.6418653792700321,0.020924617074909686
0.011,0.5888027816984089,0.02024605532626896
0.006,0.5952565822748654,0.022121419595336988
0.017,0.5958683021314581,0.01910715258124081
0.002,0.6023027299645585,0.029152442837527142
0.02,0.5915555334462694,0.01933045172782843
0.015,0.5886140423541941,0.019280772393312228
0.009000000000000001,0.5931009411889739,0.02072227588674811
0.007,0.5939093946820291,0.021102292319093177
0.012,0.5765860026100933,0.01940040008303464
0.004,0.5773379143134915,0.023817252477719916
0.030000000000000002,0.5771925386100925,0.020591557613971915
0.018000000000000002,0.5836114703356854,0.018685500784611085
0.010000000000000002,0.5792732295787123,0.01998511893752397
0.023,0.5947984649614211,0.01994466663510564
0.024,0.5820985618533148,0.020090512155613284
0.029,0.6006001040603532,0.020932358154554152
